League name,Promote to Champions league,Positions to promote to Europe league,Positions to promote to Conference League,Positions to promote to an upper league,Final positions that are to be relegated into a lower league
SuperLigaen,1,2,3,0,2
NordicBetLigaen,0,0,0,2,2
